name,profile,position,class,height,weight,high_school,hometown,rating,nil_value,status,last_team,new_team,ProfileURL,Position,Team,GP,GS,MPG,PPG,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,GP.1,GS.1,MPG.1,OREB,DREB,REB,RPG,GP.2,GS.2,AST,APG,TO,TOPG,A/TO,GP.3,GS.3,STL,SPG,GP.4,GS.4,BLK,BPG
Al Green,https://www.on3.com/db/al-green-250597/,CG,JR,6-3,185,Franklin,"(Elk Grove, CA)",,,Committed,Louisiana Tech,UNLV Rebels,https://www.cbssports.com/college-basketball/players/29556120/al-green/,G,LATECH,30,10,24.6,10.2,104,236,44.1,56,133,42.1,42,52,80.8,30,10,24.6,17,51,68,2.3,30,10,28,0.9,24,0.8,1.2,30,10,22,0.70,30,10,4,0.10
Alaaeddine Boutayeb,https://www.on3.com/db/alaaeddine-boutayeb-163159/,C,RS-JR,7-0,226,France,(Casablanca),,,Entered,Rider,,https://www.cbssports.com/college-basketball/players/28953035/alaaeddine-boutayeb/,C,RIDER,15,0,5.9,1.7,11,26,42.3,0,0,—,4,8,50.0,15,0,5.9,10,7,17,1.1,15,0,3,0.2,7,0.5,0.4,15,0,2,0.10,15,0,2,0.10
Aleksandar Gavalyugov,https://www.on3.com/db/aleksandar-gavalyugov-244925/,PG,FR,6-2,165,Bulgaria,(Sofia),,,Entered,Villanova,,https://www.cbssports.com/college-basketball/players/29558349/aleksandar-gavalyugov/,G,NOVA,4,0,4.5,2.0,3,6,50.0,2,3,66.7,0,0,—,4,0,4.5,0,0,0,0.0,4,0,1,0.3,1,0.3,1.0,4,0,2,0.50,4,0,0,0.00
Alex Chaikin,https://www.on3.com/db/alex-chaikin-250228/,SG,FR,6-5,170,Trinity Episcopal School,"(Williamsburg, VA)",93.80,,Entered,Lafayette,,https://www.cbssports.com/college-basketball/players/29557005/alex-chaikin/,G,LAFAY,32,19,26.3,13.9,141,283,49.8,80,167,47.9,84,100,84.0,32,19,26.3,15,67,82,2.6,32,19,34,1.1,43,1.3,0.8,32,19,18,0.60,32,19,5,0.20
Alex Cotton,https://www.on3.com/db/alex-cotton-152477/,SG,SO,6-5,180,Hebron,"(Lewisville, TX)",83.25,,Entered,North Texas,,https://www.cbssports.com/college-basketball/players/29233875/alex-cotton/,G,NTEXAS,3,0,6.7,1.7,2,2,100.0,1,1,100.0,0,0,—,3,0,6.7,3,0,3,1.0,3,0,1,0.3,1,0.3,1.0,3,0,1,0.30,3,0,0,0.00
Alex Huibregtse,https://www.on3.com/db/alex-huibregtse-250153/,SG,RS-SR,6-3,205,Grafton,"(Grafton, WI)",89.00,,Entered,Wright State,,https://www.cbssports.com/college-basketball/players/26540504/alex-huibregtse/,G,WRIGHT,32,32,33.8,13.5,153,362,42.3,90,240,37.5,35,44,79.5,32,32,33.8,12,87,99,3.1,32,32,100,3.1,51,1.6,2.0,32,32,21,0.70,32,32,7,0.20
Ali Dibba,https://www.on3.com/db/ali-dibba-186573/,SG,SR,6-4,185,Central Pointe Academy,"(Stockholm, Uppl)",92.64,,Entered,Southern Illinois,,https://www.cbssports.com/college-basketball/players/26778263/ali-dibba/,G,SILL,33,33,34,17.2,221,451,49.0,34,101,33.7,93,141,66.0,33,33,34,44,113,157,4.8,33,33,67,2.0,62,1.9,1.1,33,33,48,1.50,33,33,4,0.10
All Wright,https://www.on3.com/db/all-wright-250224/,CG,FR,6-3,180,Link Academy,"(Joplin, MO)",92.28,,Committed,Valparaiso,Xavier Musketeers,https://www.cbssports.com/college-basketball/players/29559969/all-wright/,G,VALPO,34,31,29.5,15.4,181,445,40.7,67,175,38.3,95,118,80.5,34,31,29.5,16,58,74,2.2,34,31,81,2.4,46,1.4,1.8,34,31,29,0.90,34,31,7,0.20
Allen Mukeba,https://www.on3.com/db/allen-mukeba-225148/,SF,SR,6-6,247,Napa Christian Campus Of Education,"(Napa, CA)",90.82,,Committed,Oakland,Arizona State Sun Devils,https://www.cbssports.com/college-basketball/players/28955918/allen-mukeba/,F,OAK,33,33,30.9,14.6,198,348,56.9,0,1,0.0,85,137,62.0,33,33,30.9,96,153,249,7.5,33,33,75,2.3,77,2.3,1.0,33,33,27,0.80,33,33,46,1.40
Almar Atlason,https://www.on3.com/db/almar-atlason-180461/,PF,SO,6-8,215,Sunrise Christian Academy,"(Spiceland, IN)",,,Entered,Bradley,,https://www.cbssports.com/college-basketball/players/29233050/almar-atlason/,F,BRAD,36,12,18.5,5.7,70,172,40.7,46,120,38.3,18,28,64.3,36,12,18.5,15,58,73,2.0,36,12,31,0.9,36,1.0,0.9,36,12,11,0.30,36,12,16,0.40
