name,profile,position,class,height,weight,high_school,hometown,rating,nil_value,status,last_team,new_team
Po'Boigh King,https://www.on3.com/db/poboigh-king-96737/,SG,JR,6-4,185,Mount Zion Christian Academy,"(Durham, NC)",90.00,,Entered,North Carolina Central,N/A
Jaylen Smith,https://www.on3.com/db/jaylen-smith-250260/,PG,SO,5-11,175,West Oaks Academy,"(Ocoee, FL)",88.00,,Entered,North Florida,N/A
Xavier Thomas,https://www.on3.com/db/xavier-thomas-158664/,PF,SO,6-6,220,Brother Rice,"(Birmingham, MI)",,,Entered,Toledo,N/A
Tyran Cook,https://www.on3.com/db/tyran-cook-241397/,PG,SO,6-2,185,Waukesha South,"(Milwaukee, WI)",,,Entered,Indiana State,N/A
Desmond White,https://www.on3.com/db/desmond-white-158444/,PG,SO,6-2,170,The Skill Factory,"(Jefferson City, MO)",82.50,,Entered,Missouri State University,N/A
Karris Bilal,https://www.on3.com/db/karris-bilal-162595/,PG,FR,6-2,180,Riverwood,"(Atlanta, GA)",89.00,,Entered,Vanderbilt,Louisiana
Davin Cosby,https://www.on3.com/db/davin-cosby-156847/,SG,JR,6-5,190,Word Of God Christian Academy,"(Richmond, VA)",87.50,,Entered,Wake Forest,Kennesaw State
Romad Dean,https://www.on3.com/db/romad-dean-150004/,SF,JR,6-7,190,Crestwood Prep,"(Toronto, ON)",,,Entered,Fordham,N/A
Christian Watson,https://www.on3.com/db/christian-watson-23233/,SF,JR,6-6,192,St. John's,"(Washington, DC)",88.31,,Entered,Southern Miss,N/A
Mason Williams,https://www.on3.com/db/mason-williams-250245/,SG,SO,6-5,180,O'Dea,"(Seattle, WA)",,,Entered,Eastern Washington,Iowa State
Callum Richard,https://www.on3.com/db/callum-richard-180474/,C,SO,6-11,228,Gaston Day School Inc,"(Gastonia, NC)",,,Entered,East Carolina,Wofford
Brandon Jennings,https://www.on3.com/db/brandon-jennings-242879/,PG,FR,6-3,175,St. Christopher's School,"(Richmond, VA)",,,Entered,VCU,N/A
Adam Clark,https://www.on3.com/db/adam-clark-220288/,PG,SO,5-10,155,West Catholic Prep High School,"(Philadelphia, PA)",90.36,,Entered,Merrimack,Seton Hall
Augusto Cassia,https://www.on3.com/db/augusto-cassia-180456/,PF,SO,6-8,178,NBA Global Academy,(Mexico City),89.00,,Entered,Butler,N/A
Massal Diouf,https://www.on3.com/db/massal-diouf-153749/,PF,JR,6-9,240,,"(Toronto, ON)",,,Entered,Western Illinois,N/A
Sam Lewis,https://www.on3.com/db/sam-lewis-174475/,SG,SO,6-5,210,Simeon,"(Chicago, IL)",92.35,,Entered,Toledo,Virginia
Drew Fielder,https://www.on3.com/db/drew-fielder-157238/,C,SO,6-9,205,So Cal Academy,"(Meridian, ID)",92.31,,Entered,Georgetown,USC
Demetrius Lilley,https://www.on3.com/db/demetrius-lilley-33976/,C,JR,6-10,260,Lower Merion,"(Ardmore, PA)",89.00,,Entered,La Salle,N/A
Eli Delaurier,https://www.on3.com/db/eli-delaurier-155149/,PF,RS-FR,6-8,210,Miller School,"(Charlottesville, VA)",88.00,,Entered,Providence,N/A
Paul Djobet,https://www.on3.com/db/paul-djobet-158458/,CG,SO,6-6,185,Arlington Christian School,"(Fairburn, GA)",89.00,,Entered,Miami,N/A
Christoph Tilly,https://www.on3.com/db/christoph-tilly-174197/,C,JR,7-0,225,Alba Berlin,"(Berlin, BE)",94.34,,Entered,Santa Clara University,Ohio State
Landren Blocker,https://www.on3.com/db/landren-blocker-179186/,SG,FR,6-4,195,Little Rock Christian Academy,"(Little Rock, AR)",82.25,,Entered,Louisiana Tech,Southeast Missouri State
Arden Conyers,https://www.on3.com/db/arden-conyers-157619/,SG,SO,6-7,210,Westwood,"(Columbia, SC)",89.00,,Entered,South Carolina,N/A
LJ Thomas,https://www.on3.com/db/lj-thomas-79562/,PG,JR,6-2,190,Bull City Prep,"(Carrboro, NC)",90.00,,Entered,Austin Peay,N/A
Justin McBride,https://www.on3.com/db/justin-mcbride-69557/,PF,SO,6-7,210,Plano,"(Dallas, TX)",86.50,,Entered,Nevada,N/A
Larry Hughes Jr.,https://www.on3.com/db/larry-hughes-jr-145028/,SG,JR,6-4,165,Christian Brothers College,"(Saint Louis, MO)",88.00,,Entered,Saint Louis,N/A
Isaiah Watts,https://www.on3.com/db/isaiah-watts-174954/,PG,SO,6-3,180,South Kent School,"(South Kent, CT)",91.89,,Entered,Washington State,Maryland
Nate Calmese,https://www.on3.com/db/nate-calmese-91484/,SG,JR,6-3,170,Mesquite,"(Gilbert, AZ)",90.45,,Entered,Washington State,Wake Forest
Noah Bolanga,https://www.on3.com/db/noah-bolanga-250271/,SG,FR,6-8,180,,,,,Entered,St. Bonaventure University,N/A
Chauncey Gibson,https://www.on3.com/db/chauncey-gibson-147547/,SF,RS-SO,6-6,180,Kimball,"(Dallas, TX)",83.50,,Entered,Prairie View A&M,N/A
Kennard Davis,https://www.on3.com/db/kennard-davis-155460/,SF,SO,6-5,185,Vashon,"(Saint Louis, MO)",93.64,,Entered,Southern Illinois,N/A
Drayton Jones,https://www.on3.com/db/drayton-jones-158434/,C,FR,6-10,240,Oak Hill Academy,"(Houston, TX)",92.82,,Entered,South Carolina State,Butler
Jevon Porter,https://www.on3.com/db/jevon-porter-61466/,PF,JR,6-8,210,Father Tolton,"(Columbia, MO)",91.25,,Entered,Loyola Marymount,Missouri
Rob Dockery,https://www.on3.com/db/rob-dockery-150965/,SF,RS-FR,6-7,195,Jackson-Reed,"(Washington, DC)",87.00,,Entered,Texas A&M,N/A
Grgur Brcic,https://www.on3.com/db/grgur-brcic-250259/,PF,SO,6-10,235,The Williston Northampton School,(Zagreb),,,Entered,Toledo,N/A
Deon Perry,https://www.on3.com/db/deon-perry-147780/,PG,JR,5-9,,Our Lady Of Mount Carmel,"(Baltimore, MD)",,,Entered,Fairfield University,N/A
Cameron Simpson,https://www.on3.com/db/cameron-simpson-250258/,SG,FR,6-7,180,Oak Ridge,"(Orlando, FL)",,,Entered,UCF,N/A
Anquan Boldin Jr.,https://www.on3.com/db/anquan-boldin-jr-250241/,CG,SO,6-4,194,IMG Academy,"(Delray Beach, FL)",,,Entered,Buffalo,N/A
Conor Enright,https://www.on3.com/db/conor-enright-25776/,PG,SR,6-2,180,Mundelein,"(Mundelein, IL)",90.95,,Entered,DePaul,Indiana
Austin Swartz,https://www.on3.com/db/austin-swartz-150883/,SG,FR,6-5,180,Cannon School,"(Concord, NC)",93.31,,Entered,Miami,Creighton
Donovan Atwell,https://www.on3.com/db/donovan-atwell-38133/,SG,JR,6-5,180,Providence Day School,"(Huntersville, NC)",81.25,,Entered,UNC Greensboro,Texas Tech
Matt Reed,https://www.on3.com/db/matt-reed-85689/,PF,SO,6-8,240,iSchool Entrepreneurial Academy,"(Lewisville, TX)",85.53,,Entered,Tulsa,Iona
Ahamad Bynum,https://www.on3.com/db/ahamad-bynum-1820/,CG,RS-JR,6-1,175,Simeon,"(Chicago, IL)",,,Entered,UTEP,N/A
Belal El Shakery,https://www.on3.com/db/belal-el-shakery-250244/,PF,SO,6-8,230,The Winchendon School,"(Winchendon, MA)",,,Entered,Wofford,N/A
Rashad King,https://www.on3.com/db/rashad-king-250240/,SG,JR,6-6,,Evans,"(Evans, GA)",,,Entered,Northeastern,LSU
Max Green,https://www.on3.com/db/max-green-250341/,SG,FR,6-6,182,Oldham County,"(La Grange, KY)",89.40,,Entered,Holy Cross,Northwestern
Harold Woods,https://www.on3.com/db/harold-woods-250239/,SG,JR,6-5,215,Hammond Central,"(Hammond, IN)",,,Entered,Northeastern,N/A
Jeremy Lorenz,https://www.on3.com/db/jeremy-lorenz-157936/,PF,SO,6-8,205,Brillion,"(Brillion, WI)",,,Entered,Wofford,N/A
Waka Mbatch,https://www.on3.com/db/waka-mbatch-246415/,PF,SO,6-10,225,,,,,Entered,Florida State,N/A
Elijah Moore,https://www.on3.com/db/elijah-moore-156626/,SG,FR,6-3,170,Our Saviour Lutheran School,"(Bronx, NY)",90.93,,Entered,Syracuse,Utah
Andrew Rohde,https://www.on3.com/db/andrew-rohde-5356/,SF,JR,6-4,160,Brookfield Central,"(Brookfield, WI)",92.39,,Entered,Virginia,Wisconsin
Chandler Jackson,https://www.on3.com/db/chandler-jackson-144721/,CG,JR,6-4,205,Christian Brothers,"(Memphis, TN)",87.50,,Entered,Florida State,Arkansas State
